,Unnamed: 0,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot
445,3478,Michael Rasmussen,8479992,C,25,77,11.0,21.0,7.0,3.0,13.411471861471862,0.2727272727272727,0.1298701298701298,0.1428571428571428,235.0,0.8096101,67.0,0.15282245,13.0,0.1801832,15.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8479992.png
446,3487,Cody Glass,8479996,C,25,65,6.0,22.0,12.0,4.0,13.655641025641026,0.3384615384615385,0.2461538461538461,0.0923076923076923,240.0,0.6755619,56.0,0.13367571,11.0,0.19351633,16.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479996.png
447,3492,Mikey Anderson,8479998,D,25,77,6.0,24.0,6.0,12.0,22.69025974025974,0.3116883116883117,0.2337662337662337,0.0779220779220779,249.0,0.8586186,71.0,0.06572945,6.0,0.22729973,19.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479998.png
448,3498,Casey Mittelstadt,8479999,C,26,81,15.0,40.0,16.0,9.0,17.063786008230455,0.4938271604938271,0.3086419753086419,0.1851851851851851,222.0,0.9116686,75.0,0.1959734,17.0,0.33665347,28.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479999.png
449,3503,Urho Vaakanainen,8480001,D,25,51,2.0,16.0,6.0,8.0,16.41078431372549,0.3137254901960784,0.2745098039215686,0.0392156862745098,255.0,0.6893161,57.0,0.051058527,5.0,0.15560684,13.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8480001.png
450,3509,Nico Hischier,8480002,C,25,75,35.0,69.0,22.0,12.0,20.388,0.92,0.4533333333333333,0.4666666666666667,240.0,0.8818917,73.0,0.42921472,36.0,0.5381389,45.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480002.png
451,3515,Jesper Boqvist,8480003,C,26,78,12.0,23.0,6.0,5.0,13.245940170940171,0.2948717948717949,0.141025641025641,0.1538461538461538,246.0,0.7586867,63.0,0.117010385,10.0,0.15179385,13.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8480003.png
452,3521,Jonas Rondbjerg,8480007,R,25,13,0.0,0.0,0.0,0.0,9.625641025641029,0.0,0.0,0.0,274.0,0.34528136,29.0,0.048242792,4.0,0.06835912,6.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8480007.png
453,3529,Eeli Tolvanen,8480009,R,25,81,23.0,35.0,5.0,7.0,14.319958847736627,0.4320987654320987,0.1481481481481481,0.2839506172839506,245.0,0.8391674,69.0,0.2013896,17.0,0.23186296,20.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8480009.png
454,3533,Klim Kostin,8480011,C,25,35,1.0,7.0,2.0,4.0,10.676666666666668,0.2,0.1714285714285714,0.0285714285714285,208.0,0.43011793,36.0,0.09610269,8.0,0.10332149,9.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480011.png
