,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot,Predicted Games Played Percentage LSTM,Predicted Goals Scored Percentage LSTM,Predicted Assists Percentage LSTM,Predicted Games Played Percentage GRU,Predicted Goals Scored Percentage GRU,Predicted Assists Percentage GRU,Predicted Games Played LSTM,Predicted Goals Scored per 82 Games LSTM,Predicted Assits per 82 Games LSTM,Predicted Games Played GRU,Predicted Goals Scored per 82 Games GRU,Predicted Assits per 82 Games GRU
679,Matthew Kessel,8482516,D,24,29,0.0,3.0,2.0,1.0,13.14022988505747,0.1034482758620689,0.1034482758620689,0.0,250.0,0.4199055,35.0,0.033853315,3.0,0.10146002,9.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8482516.png,0.61124116,0.054149773,0.17641293,0.5762174,0.031491917,0.1673089,51.0,5.0,15.0,48.0,3.0,14.0
680,Daniil Miromanov,8482624,D,27,44,2.0,9.0,3.0,4.0,17.679545454545455,0.2045454545454545,0.1590909090909091,0.0454545454545454,220.0,0.4631571,38.0,0.039372366,4.0,0.13464764,12.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482624.png,0.51779574,0.051228303,0.21900941,0.6251767,0.05374584,0.22948049,43.0,5.0,18.0,52.0,5.0,19.0
681,Walker Duehr,8482652,R,27,24,2.0,3.0,1.0,0.0,8.803472222222222,0.125,0.0416666666666666,0.0833333333333333,208.0,0.23556873,20.0,0.048149064,4.0,0.07759328,7.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482652.png,0.22272389,0.04511043,0.110287,0.3289189,0.057599287,0.101480044,19.0,4.0,10.0,27.0,5.0,9.0
682,J.J. Moser,8482655,D,24,54,2.0,14.0,4.0,8.0,18.85277777777777,0.2592592592592592,0.2222222222222222,0.037037037037037,292.0,0.78187644,65.0,0.053899888,5.0,0.22369082,19.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482655.png,0.8156644,0.073146515,0.26794162,0.7756068,0.076755084,0.2464272,67.0,6.0,22.0,64.0,7.0,21.0
683,Josh Doan,8482659,R,22,51,7.0,19.0,8.0,4.0,13.518627450980391,0.3725490196078431,0.2352941176470588,0.1372549019607843,240.0,0.7184127,59.0,0.22683218,19.0,0.26274914,22.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8482659.png,0.5911509,0.2446029,0.14406954,0.76786846,0.26057184,0.20801054,49.0,21.0,12.0,63.0,22.0,18.0
684,Kent Johnson,8482660,C,22,68,24.0,57.0,17.0,16.0,17.293872549019607,0.8382352941176471,0.4852941176470588,0.3529411764705882,267.0,0.87783056,72.0,0.28085715,24.0,0.41248187,34.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8482660.png,0.8663679,0.2940399,0.41741595,0.814647,0.28013316,0.42695206,72.0,25.0,35.0,67.0,23.0,36.0
685,Matty Beniers,8482665,C,22,82,20.0,43.0,14.0,9.0,18.68780487804878,0.524390243902439,0.2804878048780488,0.2439024390243902,245.0,0.90962934,75.0,0.2688626,23.0,0.36584848,30.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8482665.png,0.91752446,0.29121038,0.41295958,0.9018068,0.2598213,0.38317466,76.0,24.0,34.0,74.0,22.0,32.0
686,Scott Morrow,8482666,D,22,14,1.0,6.0,2.0,3.0,15.797619047619047,0.4285714285714285,0.3571428571428571,0.0714285714285714,266.0,0.54312336,45.0,0.08171771,7.0,0.18537228,16.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8482666.png,0.7259905,0.06778798,0.23674862,0.6792415,0.047730107,0.21003121,60.0,6.0,20.0,56.0,4.0,18.0
687,William Eklund,8482667,L,22,77,17.0,58.0,28.0,13.0,19.55324675324676,0.7532467532467533,0.5324675324675324,0.2207792207792207,208.0,0.856879,71.0,0.26477757,22.0,0.42896274,36.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482667.png,1.032143,0.28253618,0.60706055,0.9394078,0.24177548,0.45691684,85.0,24.0,50.0,78.0,20.0,38.0
688,Owen Power,8482671,D,22,79,7.0,40.0,16.0,17.0,21.31181434599156,0.5063291139240507,0.4177215189873418,0.0886075949367088,265.0,0.8885773,73.0,0.10504391,9.0,0.3962377,33.0,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482671.png,0.8425586,0.1066793,0.4069771,0.9102803,0.086903706,0.40670496,70.0,9.0,34.0,75.0,8.0,34.0
689,Matt Coronato,8482679,R,22,77,24.0,47.0,14.0,9.0,17.57965367965368,0.6103896103896104,0.2987012987012987,0.3116883116883117,220.0,0.85032535,70.0,0.24133931,20.0,0.33745754,28.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8482679.png,0.86588365,0.29533395,0.47213852,0.94567484,0.34643987,0.5382077,72.0,25.0,39.0,78.0,29.0,45.0
